term,category
ラセーグ徴候,検査
ラックマンテスト,検査
ランゲルハンス島,臓器
ランヴィエの絞輪,神経
リハビリテーション,リハビリ
リハビリテーションパンツ,リハビリ
リハビリテーション学部,リハビリ
リポアトロフィー,症状
リンパ球増多症,症状
リンパ球減少症,症状
リンパ管腫症,整形外科
リンパ管腫症,骨
リン酸三カルシウム,骨
リーメンビューゲル法,整形外科
レチノトピー,神経
レッドアウト,症状
レノックス・ガストー症候群,症状
レビー小体病,神経
レンショウ細胞,神経
レンズ核,神経
ロコモティブ症候群,症状
ロフストランドクラッチ,整形外科
ロブシング徴候,症状
ロンベルグ試験,症状
ローゼンシュタイン徴候,症状
ローター症候群,症状
ワードサラダ,症状
ヴルヴォディニァ,症状
一次聴覚野,神経
一次骨,骨
三好正堂,リハビリ
三角筋,筋肉
三角線維軟骨複合体損傷,整形外科
三角骨,骨
上丘,神経
上位運動ニューロン,神経
上双子筋,筋肉
上大静脈,血管
上後鋸筋,筋肉
上縦束,神経
上肢帯筋,筋肉
上腕三頭筋,筋肉
上腕二頭筋,筋肉
上腕筋,筋肉
上腕筋群,筋肉
上腕骨,骨
上腕骨顆上骨折,整形外科
上衣細胞,神経
上頭斜筋,筋肉
下丘,神経
下双子筋,筋肉
下垂体炎,臓器
下大静脈,血管
下後鋸筋,筋肉
下気道,臓器
下痢,症状
下肢外傷,整形外科
下肢帯筋,筋肉
下腿三頭筋,筋肉
下腿筋,筋肉
下頭斜筋,筋肉
不均衡症候群,症状
不安定性,症状
不定愁訴,症状
不明熱,症状
不確帯,神経
不穏,看護
不随意運動,症状
両側帯状回切截術,神経
中心静脈,血管
中心静脈カテーテル,看護
中手骨,骨
中手骨骨折,整形外科
中枢神経系,神経
中枢自律神経線維網,神経
中殿筋,筋肉
中節骨,骨
中細動脈,血管
中脳,神経
中脳水道,神経
中腸腺,臓器
中臀筋,筋肉
中足骨,骨
中野信子,神経
中間広筋,筋肉
中間楔状骨,骨
主動作筋,筋肉
久保田競,神経
乏尿,症状
乱視,症状
乳び胸,症状
乳塩基性タンパク質,骨
乳糖不耐症,症状
事象関連電位,神経
二重関節,関節
二関節筋,筋肉
亜急性連合性脊髄変性症,症状
交感神経幹,神経
交感神経系,神経
交通静脈,血管
人体自然発火現象,症状
人工肛門,臓器
人工股関節置換術,処置
人工膝関節置換術,処置
人工関節,関節
人工食道,臓器
人工骨,骨
人工骨頭置換術,処置
人間の動静脈一覧,血管
人間の筋肉の一覧,筋肉
人間の関節一覧,関節
人間の骨の一覧,骨
人間不信,症状
介在ニューロン,神経
介護予防,リハビリ
仏舎利,骨
仙椎,部位
仙腸関節,関節
仙骨,骨
仙髄,神経
仮面様顔貌,症状
伸筋,筋肉
低アルブミン血症,症状
低タンパク血症,症状
低体重,症状
低色素沈着,症状
低血圧,症状
低身長,症状
体位変換,看護
体幹筋,筋肉
体性神経系,神経
体性認知協調療法,リハビリ
体臭,症状
体重減少,症状
作業療法士,リハビリ
作業科学,リハビリ
便の色・尿の色,臓器
便秘,症状
保健室,看護
保健師,看護
保存的療法,リハビリ
個分離思考,神経
借金依存症,症状
健康心理学,看護
健康教育,看護
健忘,症状
側坐核,神経
側抑制,神経
側頭葉,神経
偽痛風,整形外科
偽痴呆,症状
偽関節,整形外科
傍尿細管毛細血管,血管
僧帽筋,筋肉
僧帽細胞,神経
充血,症状
先天性無痛無汗症,症状
光視症,症状
光過敏性発作,症状
光遺伝学,神経
免荷,リハビリ
兎眼,症状
全荷重,リハビリ
全身性炎症反応症候群,症状
公衆衛生看護婦,看護
共同体思考,神経
共同運動,症状
内側前脳束,神経
内側広筋,筋肉
内側楔状骨,骨
内側胸筋神経,神経
内出血,症状
内分泌器,臓器
内因子,臓器
内肋間筋,筋肉
内腹斜筋,筋肉
内閉鎖筋,筋肉
円回内筋,筋肉
円形脱毛症,症状
円板状半月板,整形外科
冷え性,症状
准看護師試験,看護
出血,症状
出血性炎症,症状
出血熱,症状
切断 (医学),整形外科
利き手交換,リハビリ
利き脳,神経
刺激性異嗅症,症状
剃刀負け,症状
前仙尾筋,筋肉
前十字靭帯損傷,整形外科
前方引き出しテスト,検査
前根,神経
前胃,臓器
前胸腺,臓器
前脛骨筋,筋肉
前脳,神経
前腕筋,筋肉
前角 (脊髄),神経
前鋸筋,筋肉
前障,神経
前頭前皮質,神経
前頭眼野,神経
前頭葉,神経
前頭葉白質切截術,神経
前骨間神経,神経
副交感神経系,神経
副嗅球,神経
副甲状腺,臓器
副腎,臓器
副腎摘出術,臓器
副腎機能低下症,臓器
副腎皮質,臓器
副腎皮質性思春期徴候,臓器
副腎髄質,臓器
副鼻腔,臓器
創傷・ストーマ・失禁ケア,看護
創造性,神経
助産師国家試験,看護
動悸,症状
動脈,血管
動脈スティフネス,血管
動脈管,血管
動脈血,血管
化膿性炎症,症状
北大人骨事件,骨
医療倫理,看護
医療技術短期大学,看護
医療的ケア児,看護
半側空間無視,症状
半奇静脈,血管
半月板損傷,整形外科
半棘筋,筋肉
半腱様筋,筋肉
半膜様筋,筋肉
卜骨・卜甲,骨
卵巣,臓器
叉骨,骨
友田明美,神経
双子筋,筋肉
双方向性シナプス,神経
反射区,神経
反復唾液嚥下テスト,リハビリ
受動喫煙症,症状
口角炎,症状
可動域制限,症状
右上肢,部位
右下肢,部位
右脳,神経
右足背,部位
同名半盲,症状
吐き気,症状
吐血,症状
向き癖,整形外科
吸引,看護
吸引性皮下出血,症状
周期性嘔吐症候群,症状
周皮細胞,血管
呼吸上皮,臓器
呼吸不全,症状
呼吸器,臓器
呼吸困難,症状
咳嗽,症状
咽喉,臓器
咽喉頭異常感症,症状
咽頭,臓器
唯脳論,神経
唾液腺,臓器
喀血,症状
喉頭,臓器
喉頭蓋,骨
喉頭隆起,骨
嗅球,神経
嗅脳,神経
嗅覚過敏,症状
嘔吐,症状
嘔吐下痢症,症状
嘔吐中枢,神経
嘴骨,骨
噴気孔 (生物学),臓器
噴水孔,臓器
噴門,臓器
回外筋,筋肉
回復期リハビリテーション,リハビリ
回旋筋,筋肉
回旋筋腱板,筋肉
固縮,症状
国立障害者リハビリテーションセンター,リハビリ
国立障害者リハビリテーションセンター学院,リハビリ
国際看護師の日,看護
国際統合リハビリテーション協会,リハビリ
圧痛,症状
地域児童精神保健,看護
地域看護学,看護
坐骨,骨
坐骨神経痛,整形外科
埋没毛,症状
基礎看護学,看護
基節骨,骨
増殖性炎症,症状
声道,臓器
変形,症状
変形性股関節症,整形外科
変形性膝関節症,整形外科
変形性膝関節症,症状
変形性関節症,症状
変質性炎症,症状
夏バテ,症状
外側広筋,筋肉
外側楔状骨,骨
外側胸筋神経,神経
外側膝状体,神経
外傷,整形外科
外傷性頸部症候群,整形外科
外包,神経
外肋間筋,筋肉
外腹斜筋,筋肉
外閉鎖筋,筋肉
外鰓,臓器
多発性神経炎,症状
多瞳孔症,症状
多臓器不全,症状
多裂筋,筋肉
夜尿症,症状
夜間頻尿,症状
大内臓神経,神経
大内転筋,筋肉
大円筋,筋肉
大動脈裂孔,血管
大後頭直筋,筋肉
大理石骨病,整形外科
大田原症候群,症状
大胸筋,筋肉
大脳,神経
大脳基底核,神経
大脳新皮質,神経
大脳旧皮質,神経
大脳皮質,神経
大腰筋,筋肉
大腸憩室症,症状
大腿二頭筋,筋肉
大腿四頭筋,筋肉
大腿方形筋,筋肉
大腿直筋,筋肉
大腿筋,筋肉
大腿筋膜張筋,筋肉
大腿骨,骨
大臀筋,筋肉
大菱形筋,筋肉
