drug_name,generic_name
ゾルピデム酒石酸塩錠１０ｍｇ「ＮＰＩ」,ゾルピデム酒石酸塩
ゾルピデム酒石酸塩錠１０ｍｇ「ＮＩＧ」,ゾルピデム酒石酸塩
ゾルピデム酒石酸塩５ｍｇ口腔内崩壊錠,ゾルピデム酒石酸塩
ゾルピデム酒石酸塩ＯＤ錠１０ｍｇ「サワイ」,ゾルピデム酒石酸塩
ゾルピデム酒石酸塩ＯＤフィルム１０ｍｇ「モチダ」,ゾルピデム酒石酸塩
ゾルピデム酒石酸塩ＯＤ錠１０ｍｇ「トーワ」,ゾルピデム酒石酸塩
ゾルピデム酒石酸塩ＯＤ錠１０ｍｇ「日医工」,ゾルピデム酒石酸塩
ゾルピデム酒石酸塩内用液５ｍｇ「タカタ」,ゾルピデム酒石酸塩
ゾルピデム酒石酸塩内用液１０ｍｇ「タカタ」,ゾルピデム酒石酸塩
エスゾピクロン１ｍｇ錠,エスゾピクロン
ルネスタ錠１ｍｇ,エスゾピクロン
エスゾピクロン錠１ｍｇ「ＫＭＰ」,エスゾピクロン
エスゾピクロン錠１ｍｇ「ＮＰＩ」,エスゾピクロン
エスゾピクロン錠１ｍｇ「ＹＤ」,エスゾピクロン
エスゾピクロン錠１ｍｇ「明治」,エスゾピクロン
エスゾピクロン２ｍｇ錠,エスゾピクロン
ルネスタ錠２ｍｇ,エスゾピクロン
エスゾピクロン錠２ｍｇ「ＫＭＰ」,エスゾピクロン
エスゾピクロン錠２ｍｇ「ＮＰＩ」,エスゾピクロン
エスゾピクロン錠２ｍｇ「明治」,エスゾピクロン
エスゾピクロン３ｍｇ錠,エスゾピクロン
ルネスタ錠３ｍｇ,エスゾピクロン
エスゾピクロン錠３ｍｇ「ＫＭＰ」,エスゾピクロン
エスゾピクロン錠３ｍｇ「ＮＰＩ」,エスゾピクロン
エスゾピクロン錠３ｍｇ「ＹＤ」,エスゾピクロン
エスゾピクロン錠３ｍｇ「アメル」,エスゾピクロン
エスゾピクロン錠３ｍｇ「杏林」,エスゾピクロン
エスゾピクロン錠３ｍｇ「トーワ」,エスゾピクロン
エスゾピクロン錠３ｍｇ「日新」,エスゾピクロン
エスゾピクロン錠３ｍｇ「明治」,エスゾピクロン
クランポール末,アセチルフェネトライド
クランポール錠２００ｍｇ,アセチルフェネトライド
アクセノン末,エトトイン
フェニトイン散,フェニトイン
フェニトイン錠,フェニトイン
アレビアチン錠２５ｍｇ,フェニトイン
フェニトイン錠,フェニトイン
アレビアチン錠１００ｍｇ,フェニトイン
ミノアレ散６６．７％,トリメタジオン
プリミドン細粒９９．５％「日医工」,プリミドン
プリミドン錠２５０ｍｇ「日医工」,プリミドン
オスポロット錠５０ｍｇ,スルチアム
オスポロット錠２００ｍｇ,スルチアム
エピレオプチマル散５０％,エトスクシミド
ザロンチンシロップ５％,エトスクシミド
カルバマゼピン細粒５０％「アメル」,カルバマゼピン
テグレトール細粒５０％,カルバマゼピン
カルバマゼピン細粒５０％「フジナガ」,カルバマゼピン
カルバマゼピン２００ｍｇ錠,カルバマゼピン
テグレトール錠２００ｍｇ,カルバマゼピン
カルバマゼピン錠２００ｍｇ「アメル」,カルバマゼピン
カルバマゼピン１００ｍｇ錠,カルバマゼピン
テグレトール錠１００ｍｇ,カルバマゼピン
カルバマゼピン錠１００ｍｇ「アメル」,カルバマゼピン
リボトリール細粒０．１％,クロナゼパム
ランドセン細粒０．１％,クロナゼパム
リボトリール細粒０．５％,クロナゼパム
ランドセン細粒０．５％,クロナゼパム
リボトリール錠０．５ｍｇ,クロナゼパム
ランドセン錠０．５ｍｇ,クロナゼパム
リボトリール錠１ｍｇ,クロナゼパム
ランドセン錠１ｍｇ,クロナゼパム
リボトリール錠２ｍｇ,クロナゼパム
ランドセン錠２ｍｇ,クロナゼパム
バルプロ酸ナトリウム細粒２０％「ＥＭＥＣ」,バルプロ酸ナトリウム
デパケン細粒４０％,バルプロ酸ナトリウム
バルプロ酸ナトリウム細粒４０％「ＥＭＥＣ」,バルプロ酸ナトリウム
バルプロ酸ナトリウム４０％徐放顆粒,バルプロ酸ナトリウム
セレニカＲ顆粒４０％,バルプロ酸ナトリウム
バルプロ酸ナトリウム１００ｍｇ錠,バルプロ酸ナトリウム
デパケン錠１００ｍｇ,バルプロ酸ナトリウム
バルプロ酸ナトリウム錠２００ｍｇ「アメル」,バルプロ酸ナトリウム
デパケン錠２００ｍｇ,バルプロ酸ナトリウム
バルプロ酸Ｎａ錠２００ｍｇ「フジナガ」,バルプロ酸ナトリウム
バルプロ酸ナトリウム錠２００ｍｇ「ＤＳＰ」,バルプロ酸ナトリウム
バルプロ酸ナトリウム１００ｍｇ徐放錠,バルプロ酸ナトリウム
デパケンＲ錠１００ｍｇ,バルプロ酸ナトリウム
セレニカＲ錠２００ｍｇ,バルプロ酸ナトリウム
バルプロ酸ナトリウムＳＲ錠２００ｍｇ「アメル」,バルプロ酸ナトリウム
デパケンＲ錠２００ｍｇ,バルプロ酸ナトリウム
バルプロ酸ナトリウム徐放錠Ａ２００ｍｇ「トーワ」,バルプロ酸ナトリウム
セレニカＲ錠４００ｍｇ,バルプロ酸ナトリウム
バルプロ酸ナトリウム５％シロップ,バルプロ酸ナトリウム
デパケンシロップ５％,バルプロ酸ナトリウム
バルプロ酸ナトリウムシロップ５％「日医工」,バルプロ酸ナトリウム
バルプロ酸Ｎａシロップ５％「フジナガ」,バルプロ酸ナトリウム
エクセグラン散２０％,ゾニサミド
ゾニサミド散２０％「アメル」,ゾニサミド
ゾニサミド１００ｍｇ錠,ゾニサミド
エクセグラン錠１００ｍｇ,ゾニサミド
マイスタン細粒１％,クロバザム
マイスタン錠５ｍｇ,クロバザム
マイスタン錠１０ｍｇ,クロバザム
ガバペン錠２００ｍｇ,ガバペンチン
ガバペン錠３００ｍｇ,ガバペンチン
ガバペン錠４００ｍｇ,ガバペンチン
ガバペンシロップ５％,ガバペンチン
トピナ細粒１０％,トピラマート
トピナ錠５０ｍｇ,トピラマート
トピラマート錠５０ｍｇ「アメル」,トピラマート
トピナ錠１００ｍｇ,トピラマート
トピラマート錠１００ｍｇ「アメル」,トピラマート
トピナ錠２５ｍｇ,トピラマート
