disease_name,disease_kana,icd10_code
往来寒熱,オウライカンネツ,R509
オオアワガエリ花粉症,オオアワガエリカフンショウ,J301
大型静脈の先天奇形,オオガタジョウミャクノセンテンキケイ,Q269
大型動脈の先天奇形,オオガタドウミャクノセンテンキケイ,Q259
大田原症候群,オオタハラショウコウグン,G404
太田母斑,オオタボハン,D223
悪寒,オカン,R688
悪寒戦慄,オカンセンリツ,R688
悪寒発熱,オカンハツネツ,R508
オクシピタル・ホーン症候群,オクシピタル・ホーンショウコウグン,E830
おくび,オクビ,R14
オクルーザルスプリント破損,オクルーザルスプリントハソン,T888
オクルーザルスプリント不適合,オクルーザルスプリントフテキゴウ,T888
小口病,オグチビョウ,H536
お血,オケツ,R688
オザルド糸状虫感染,オザルドシジョウチュウカンセン,B744
悪心,オシン,R11
オスグッド・シュラッター病,オスグッド・シュラッタービョウ,M925
オステルライヒ・ターナー症候群,オステルライヒ・ターナーショウコウグン,Q872
オストラム・フルスト症候群,オストラム・フルストショウコウグン,Q758
オスラー結節,オスラーケッセツ,I330
オスラー病,オスラービョウ,I780
オズウイルス感染症,オズウイルスカンセンショウ,B348
汚染擦過傷,オセンサッカショウ,T140
汚染創,オセンソウ,T141
悪阻,オソ,O210
落ち込み,オチコミ,R452
オディ括約筋収縮,オディカツヤクキンシュウシュク,K834
頤位のための母体管理,オトガイイノタメノボタイカンリ,O323
オトガイ下膿瘍,オトガイカノウヨウ,K122
オトガイ神経圧迫痛,オトガイシンケイアッパクツウ,R529
オトガイ神経損傷,オトガイシンケイソンショウ,S043
オトガイ神経知覚異常,オトガイシンケイチカクイジョウ,R202
オトガイ神経麻痺,オトガイシンケイマヒ,G509
オトガイ前突症,オトガイゼントツショウ,K070
オトガイ非対称,オトガイヒタイショウ,K071
オトガイ部知覚低下,オトガイブチカクテイカ,R201
オトガイ劣成長,オトガイレッセイチョウ,K070
オニオニオン熱,オニオニオンネツ,A921
オピオイド誘発性便秘症,オピオイドユウハツセイベンピショウ,K590
オピストルキス症,オピストルキスショウ,B660
オピッツ病,オピッツビョウ,D732
オブチュレーター破損,オブチュレーターハソン,T888
オブチュレーター不適合,オブチュレーターフテキゴウ,T888
オプソクローヌス,オプソクローヌス,R258
オプソクローヌス・ミオクローヌス症候群,オプソクローヌス・ミオクローヌスショウコウグン,H55
オムスク出血熱,オムスクシュッケツネツ,A981
おむつ皮膚炎,オムツヒフエン,L22
オリーブ橋小脳萎縮症,オリーブキョウショウノウイシュクショウ,G238
オルガズム機能不全,オルガズムキノウフゼン,F523
オルニチントランスカルバミラーゼ欠損症,オルニチントランスカルバミラーゼケッソンショウ,E724
折れ耳,オレミミ,Q178
オレンジアレルギー,オレンジアレルギー,T781
オロチン酸尿症,オロチンサンニョウショウ,E798
オロチン酸尿性貧血,オロチンサンニョウセイヒンケツ,D530
オロプーシェウイルス病,オロプーシェウイルスビョウ,A930
オロヤ熱,オロヤネツ,A440
音響外傷,オンキョウガイショウ,H833
オンコセルカ症,オンコセルカショウ,B73
温式自己免疫性溶血性貧血,オンシキジコメンエキセイヨウケツセイヒンケツ,D591
音声障害,オンセイショウガイ,R498
音声衰弱症,オンセイスイジャクショウ,R498
音声性チック障害,オンセイセイチックショウガイ,F951
温痛覚過敏,オンツウカクカビン,R203
温度感覚異常,オンドカンカクイジョウ,R202
温度感覚過敏,オンドカンカクカビン,R203
温熱じんま疹,オンネツジンマシン,L502
温熱性紅斑,オンネツセイコウハン,L590
カーニー複合,カーニーフクゴウ,Q897
カーバメート中毒,カーバメートチュウドク,T600
カーペンター症候群,カーペンターショウコウグン,Q870
カーンズ・セイアー症候群,カーンズ・セイアーショウコウグン,H498
開眼失行,カイガンシッコウ,R482
回帰性リウマチ,カイキセイリウマチ,M1239
回帰熱,カイキネツ,A689
開胸術後疼痛症候群,カイキョウジュツゴトウツウショウコウグン,T818
下位胸髄損傷,カイキョウズイソンショウ,S241
下位頚髄損傷,カイケイズイソンショウ,S141
壊血病性貧血,カイケツビョウセイヒンケツ,D532
開咬,カイコウ,K072
開口障害,カイコウショウガイ,K075
開口不全,カイコウフゼン,K076
開散不全,カイサンフゼン,H511
開散麻痺,カイサンマヒ,H518
カイザー・フライシャー輪,カイザー・フライシャーリン,H180
介助分娩,カイジョブンベン,O839
海水浴皮膚炎,カイスイヨクヒフエン,L258
疥癬,カイセン,B86
回旋異常,カイセンイジョウ,O329
回旋腱板症候群,カイセンケンバンショウコウグン,M751
回旋斜位,カイセンシャイ,H505
回旋斜視,カイセンシャシ,H504
回旋性眼振,カイセンセイガンシン,H55
回虫症,カイチュウショウ,B779
回虫症肺炎,カイチュウショウハイエン,B778
貝中毒,カイチュウドク,T619
回腸悪性リンパ腫,カイチョウアクセイリンパシュ,C859
回腸壊死,カイチョウエシ,K550
回腸炎,カイチョウエン,A099
回腸カルチノイド,カイチョウカルチノイド,C172
回腸癌,カイチョウガン,C172
回腸狭窄,カイチョウキョウサク,K566
回腸クローン病,カイチョウクローンビョウ,K500
回腸憩室炎,カイチョウケイシツエン,K571
回腸憩室症,カイチョウケイシツショウ,K571
回腸憩室穿孔,カイチョウケイシツセンコウ,K570
回腸結核,カイチョウケッカク,A183
回腸消化管間質腫瘍,カイチョウショウカカンカンシツシュヨウ,C172
回腸神経内分泌癌,カイチョウシンケイナイブンピガン,C172
回腸神経内分泌細胞癌,カイチョウシンケイナイブンピサイボウガン,C172
回腸神経内分泌腫瘍,カイチョウシンケイナイブンピシュヨウ,C172
回腸重積症,カイチョウジュウセキショウ,K561
開張足,カイチョウソク,M2147
回腸導管形成状態,カイチョウドウカンケイセイジョウタイ,Z936
回腸導管出口部狭窄,カイチョウドウカンデグチブキョウサク,T838
回腸内異物,カイチョウナイイブツ,T183
回腸のう炎,カイチョウノウエン,K918
回腸閉鎖,カイチョウヘイサ,Q412b
回腸膀胱瘻,カイチョウボウコウロウ,N321
回腸ポリープ,カイチョウポリープ,K638
回腸ポリープ症,カイチョウポリープショウ,D133
回腸末端リンパ腺胞増多症,カイチョウマッタンリンパセンポウゾウタショウ,D133
回腸瘻開口部に対する手当て,カイチョウロウカイコウブニタイスルテアテ,Z432
回腸瘻造設状態,カイチョウロウゾウセツジョウタイ,Z932
回転異常腎,カイテンイジョウジン,Q632
回転性めまい,カイテンセイメマイ,H819
開頭術後骨欠損,カイトウジュツゴコツケッソン,Z900
回内筋症候群,カイナイキンショウコウグン,G561
回内足,カイナイソク,M2167
開排制限,カイハイセイゲン,Q659
海馬硬化を伴う内側側頭葉てんかん,カイバコウカヲトモナウナイソクソクトウヨウテンカン,G402
回避性パーソナリティ障害,カイヒセイパーソナリティショウガイ,F606
開鼻声,カイビセイ,R492
回復期口腔機能管理中,カイフクキコウクウキノウカンリチュウ,Z518
開腹術後愁訴,カイフクジュツゴシュウソ,T889
開放隅角緑内障,カイホウグウカクリョクナイショウ,H401
開放骨折,カイホウコッセツ,T1421
開放性胃損傷,カイホウセイイソンショウ,S3631
開放性一次性脳幹外傷,カイホウセイイチジセイノウカンガイショウ,S0631
開放性胃腸管穿孔破裂,カイホウセイイチョウカンセンコウハレツ,S3671
開放性胃腸管損傷,カイホウセイイチョウカンソンショウ,S3671
開放性胃破裂,カイホウセイイハレツ,S3631
開放性延髄損傷,カイホウセイエンズイソンショウ,S0631
開放性肝損傷,カイホウセイカンソンショウ,S3611
開放性肝内血腫,カイホウセイカンナイケッシュ,S3611
開放性肝被膜下血腫,カイホウセイカンヒマクカケッシュ,S3611
開放性陥没骨折,カイホウセイカンボツコッセツ,T1421
開放性外傷後遅発性脳卒中,カイホウセイガイショウゴチハツセイノウソッチュウ,S0681
開放性外傷性肝内血腫,カイホウセイガイショウセイカンナイケッシュ,S3611
開放性外傷性肝破裂,カイホウセイガイショウセイカンハレツ,S3611
開放性外傷性肝被膜下血腫,カイホウセイガイショウセイカンヒマクカケッシュ,S3611
開放性外傷性気胸,カイホウセイガイショウセイキキョウ,S2701
開放性外傷性胸膜炎,カイホウセイガイショウセイキョウマクエン,S2761
開放性外傷性くも膜下出血,カイホウセイガイショウセイクモマクカシュッケツ,S0661
開放性外傷性血気胸,カイホウセイガイショウセイケッキキョウ,S2721
開放性外傷性血胸,カイホウセイガイショウセイケッキョウ,S2711
開放性外傷性硬膜下水腫,カイホウセイガイショウセイコウマクカスイシュ,S0651
開放性外傷性骨盤内血腫,カイホウセイガイショウセイコツバンナイケッシュ,S3791
開放性外傷性消化管血腫,カイホウセイガイショウセイショウカカンケッシュ,S3691
開放性外傷性小脳血腫,カイホウセイガイショウセイショウノウケッシュ,S0681
開放性外傷性食道破裂,カイホウセイガイショウセイショクドウハレツ,S2781
開放性外傷性心臓破裂,カイホウセイガイショウセイシンゾウハレツ,S2681
開放性外傷性縦隔血腫,カイホウセイガイショウセイジュウカクケッシュ,S2781
開放性外傷性腎血腫,カイホウセイガイショウセイジンケッシュ,S3701
開放性外傷性髄液耳漏,カイホウセイガイショウセイズイエキジロウ,S0681
開放性外傷性髄液鼻漏,カイホウセイガイショウセイズイエキビロウ,S0681
開放性外傷性直腸穿孔,カイホウセイガイショウセイチョクチョウセンコウ,S3661
開放性外傷性頭蓋内出血,カイホウセイガイショウセイトウガイナイシュッケツ,S0681
開放性外傷性乳び胸,カイホウセイガイショウセイニュウビキョウ,S2781
開放性外傷性脳圧迫,カイホウセイガイショウセイノウアッパク,S0621
開放性外傷性脳室内出血,カイホウセイガイショウセイノウシツナイシュッケツ,S0681
開放性外傷性脳症,カイホウセイガイショウセイノウショウ,F072
開放性外傷性脳動脈瘤,カイホウセイガイショウセイノウドウミャクリュウ,S0681
開放性外傷性脳内血腫,カイホウセイガイショウセイノウナイケッシュ,S0631
開放性外傷性脳浮腫,カイホウセイガイショウセイノウフシュ,S0611
開放性外傷性脾破裂,カイホウセイガイショウセイヒハレツ,S3601
開放性気管支損傷,カイホウセイキカンシソンショウ,S2741
開放性基底核部脳損傷,カイホウセイキテイカクブノウソンショウ,S0631
開放性気道損傷,カイホウセイキドウソンショウ,S2791
開放性急性硬膜下血腫,カイホウセイキュウセイコウマクカケッシュ,S0651
開放性急性硬膜外血腫,カイホウセイキュウセイコウマクガイケッシュ,S0641
開放性胸管損傷,カイホウセイキョウカンソンショウ,S2781
開放性胸部気管損傷,カイホウセイキョウブキカンソンショウ,S2751
開放性胸膜損傷,カイホウセイキョウマクソンショウ,S2761
開放性局所性外傷性脳圧迫,カイホウセイキョクショセイガイショウセイノウアッパク,S0631
開放性局所性外傷性脳内出血,カイホウセイキョクショセイガイショウセイノウナイシュッケツ,S0631
開放性局所性脳挫傷,カイホウセイキョクショセイノウザショウ,S0631
開放性局所性脳損傷,カイホウセイキョクショセイノウソンショウ,S0631
開放性距骨下脱臼骨折,カイホウセイキョコツカダッキュウコッセツ,S9211
開放性結腸損傷,カイホウセイケッチョウソンショウ,S3651
開放性後頭蓋窩硬膜外血腫,カイホウセイコウトウガイカコウマクガイケッシュ,S0641
開放性後頭部外傷,カイホウセイコウトウブガイショウ,S0691
開放性後腹膜損傷,カイホウセイコウフクマクソンショウ,S3681
開放性硬膜下血腫,カイホウセイコウマクカケッシュ,S0651
開放性硬膜外血腫,カイホウセイコウマクガイケッシュ,S0641
開放性硬膜損傷,カイホウセイコウマクソンショウ,S0681
開放性骨盤内臓器損傷,カイホウセイコツバンナイゾウキソンショウ,S3791
開放性三果骨折,カイホウセイサンカコッセツ,S8281
開放性子宮穿孔,カイホウセイシキュウセンコウ,S3761
開放性子宮損傷,カイホウセイシキュウソンショウ,S3761
開放性矢状洞部硬膜外血腫,カイホウセイシジョウドウブコウマクガイケッシュ,S0641
開放性消化管血腫,カイホウセイショウカカンケッシュ,S3691
開放性小腸損傷,カイホウセイショウチョウソンショウ,S3641
開放性小脳挫傷,カイホウセイショウノウザショウ,S0631
開放性食道損傷,カイホウセイショクドウソンショウ,S2781
開放性心臓挫傷,カイホウセイシンゾウザショウ,S2681
開放性心臓損傷,カイホウセイシンゾウソンショウ,S2691
開放性縦隔血腫,カイホウセイジュウカクケッシュ,S2781
開放性十二指腸損傷,カイホウセイジュウニシチョウソンショウ,S3641
開放性腎損傷,カイホウセイジンソンショウ,S3701
開放性腎破裂,カイホウセイジンハレツ,S3701
開放性膵損傷,カイホウセイスイソンショウ,S3621
開放性膵臓破裂,カイホウセイスイゾウハレツ,S3621
開放性前腕骨折,カイホウセイゼンワンコッセツ,S5291
開放性足関節脱臼粉砕骨折,カイホウセイソクカンセツダッキュウフンサイコッセツ,S8281
開放性多発性胸腔内臓器損傷,カイホウセイタハツセイキョウクウナイゾウキソンショウ,S2771
開放性多発性骨盤内臓器損傷,カイホウセイタハツセイコツバンナイゾウキソンショウ,S3771
開放性多発性腹腔内臓器損傷,カイホウセイタハツセイフククウナイゾウキソンショウ,S3671
開放性胆管損傷,カイホウセイタンカンソンショウ,S3611
開放性胆のう損傷,カイホウセイタンノウソンショウ,S3611
開放性大腿骨骨髄炎,カイホウセイダイタイコツコツズイエン,M8695
開放性脱臼,カイホウセイダッキュウ,T143
開放性脱臼骨折,カイホウセイダッキュウコッセツ,T1421
開放性遅発性硬膜外血腫,カイホウセイチハツセイコウマクガイケッシュ,S0641
開放性腸管損傷,カイホウセイチョウカンソンショウ,S3691
開放性腸管破裂,カイホウセイチョウカンハレツ,S3691
開放性腸間膜損傷,カイホウセイチョウカンマクソンショウ,S3681
開放性直腸損傷,カイホウセイチョクチョウソンショウ,S3661
開放性橈骨尺骨遠位端骨折,カイホウセイトウコツシャッコツエンイタンコッセツ,S5261
開放性頭部損傷,カイホウセイトウブソンショウ,S0691
開放性動揺胸郭,カイホウセイドウヨウキョウカク,S2251
開放性鈍的心臓外傷,カイホウセイドンテキシンゾウガイショウ,S2681
開放性乳児急性硬膜下血腫,カイホウセイニュウジキュウセイコウマクカケッシュ,S0651
開放性尿管挫傷,カイホウセイニョウカンザショウ,S3711
開放性尿管損傷,カイホウセイニョウカンソンショウ,S3711
開放性尿管断裂,カイホウセイニョウカンダンレツ,S3711
開放性尿道損傷,カイホウセイニョウドウソンショウ,S3731
開放性尿道断裂,カイホウセイニョウドウダンレツ,S3731
開放性尿路損傷,カイホウセイニョウロソンショウ,S3791
開放性脳幹挫傷,カイホウセイノウカンザショウ,S0631
開放性脳挫創,カイホウセイノウザソウ,S0621
開放性脳損傷,カイホウセイノウソンショウ,S0691
開放性脳損傷髄膜炎,カイホウセイノウソンショウズイマクエン,T798
開放性脳対側損傷,カイホウセイノウタイソクソンショウ,S0691
開放性脳直撃損傷,カイホウセイノウチョクゲキソンショウ,S0691
開放性脳底部挫傷,カイホウセイノウテイブザショウ,S0621
開放性肺挫傷,カイホウセイハイザショウ,S2731
開放性肺損傷,カイホウセイハイソンショウ,S2731
開放性肺破裂,カイホウセイハイハレツ,S2731
開放性半球間硬膜下血腫,カイホウセイハンキュウカンコウマクカケッシュ,S0651
開放性皮質下脳損傷,カイホウセイヒシツカノウソンショウ,S0681
開放性脾損傷,カイホウセイヒソンショウ,S3601
開放性びまん性軸索損傷,カイホウセイビマンセイジクサクソンショウ,S0621
開放性びまん性脳損傷,カイホウセイビマンセイノウソンショウ,S0621
開放性腹腔内臓器損傷,カイホウセイフククウナイゾウキソンショウ,S3691
開放性副腎損傷,カイホウセイフクジンソンショウ,S3781
開放性粉砕骨折,カイホウセイフンサイコッセツ,T1421
開放性膀胱損傷,カイホウセイボウコウソンショウ,S3721
開放性傍大脳鎌血腫,カイホウセイボウダイノウカマケッシュ,S0681
開放性卵管損傷,カイホウセイランカンソンショウ,S3751
開放性卵巣損傷,カイホウセイランソウソンショウ,S3741
開放創,カイホウソウ,T141
海綿芽細胞腫,カイメンガサイボウシュ,C719
開面金属冠脱離,カイメンキンゾクカンダツリ,T888
開面金属冠破損,カイメンキンゾクカンハソン,T888
開面金属冠不適合,カイメンキンゾクカンフテキゴウ,T888
海綿状血管腫,カイメンジョウケッカンシュ,D180
海綿静脈洞血栓症,カイメンジョウミャクドウケッセンショウ,G08
海綿静脈洞症候群,カイメンジョウミャクドウショウコウグン,I676
海綿静脈洞部海綿状血管腫,カイメンジョウミャクドウブカイメンジョウケッカンシュ,Q281
海綿状リンパ管腫,カイメンジョウリンパカンシュ,D181
海綿腎,カイメンジン,Q615
海綿体炎,カイメンタイエン,N482
海綿体血栓症,カイメンタイケッセンショウ,N488
海綿体膿瘍,カイメンタイノウヨウ,N482
回盲部悪性リンパ腫,カイモウブアクセイリンパシュ,C859
回盲部癌,カイモウブガン,C180
回盲部憩室,カイモウブケイシツ,K573
回盲部憩室炎,カイモウブケイシツエン,K573
回盲部結核,カイモウブケッカク,A183
回盲部周囲膿瘍,カイモウブシュウイノウヨウ,K353
回盲部腫瘍,カイモウブシュヨウ,D374
回盲部腫瘤,カイモウブシュリュウ,R190
回盲部腸重積症,カイモウブチョウジュウセキショウ,K561
回盲部痛,カイモウブツウ,R103
潰瘍性咽頭炎,カイヨウセイイントウエン,J029
潰瘍性壊疽,カイヨウセイエソ,R02
潰瘍性外痔核,カイヨウセイガイジカク,K648
潰瘍性眼瞼炎,カイヨウセイガンケンエン,H010
潰瘍性口内炎,カイヨウセイコウナイエン,K121
潰瘍性歯肉炎,カイヨウセイシニクエン,K051
潰瘍性痔核,カイヨウセイジカク,K648
潰瘍性粟粒結核,カイヨウセイゾクリュウケッカク,A199
潰瘍性大腸炎,カイヨウセイダイチョウエン,K519
潰瘍性大腸炎・左側大腸炎型,カイヨウセイダイチョウエン・サソクダイチョウエンガタ,K515
潰瘍性大腸炎・全大腸炎型,カイヨウセイダイチョウエン・ゼンダイチョウエンガタ,K510
潰瘍性大腸炎・直腸Ｓ状結腸炎型,カイヨウセイダイチョウエン・チョクチョウＳジョウケッチョウエンガタ,K513
潰瘍性大腸炎・直腸炎型,カイヨウセイダイチョウエン・チョクチョウエンガタ,K512
潰瘍性大腸炎合併妊娠,カイヨウセイダイチョウエンガッペイニンシン,O996
潰瘍性大腸炎再燃,カイヨウセイダイチョウエンサイネン,K519
潰瘍性大腸炎術後,カイヨウセイダイチョウエンジュツゴ,Z904
潰瘍性大腸炎性関節炎,カイヨウセイダイチョウエンセイカンセツエン,K519
潰瘍性大腸炎性若年性関節炎,カイヨウセイダイチョウエンセイジャクネンセイカンセツエン,K519
潰瘍性内痔核,カイヨウセイナイジカク,K648
潰瘍性鼻炎,カイヨウセイビエン,J310
潰瘍性膀胱炎,カイヨウセイボウコウエン,N308
潰瘍性慢性膿皮症,カイヨウセイマンセイノウヒショウ,L88
潰瘍性狼瘡,カイヨウセイロウソウ,A184
潰瘍瘢痕,カイヨウハンコン,L905
解離性運動障害,カイリセイウンドウショウガイ,F444
解離性感覚障害,カイリセイカンカクショウガイ,F446
解離性眼振,カイリセイガンシン,H55
解離性胸部大動脈瘤,カイリセイキョウブダイドウミャクリュウ,I710
解離性痙攣,カイリセイケイレン,F445
解離性健忘,カイリセイケンボウ,F440
解離性昏迷,カイリセイコンメイ,F442
解離性障害,カイリセイショウガイ,F449
解離性大動脈瘤,カイリセイダイドウミャクリュウ,I710
解離性大動脈瘤ＤｅＢａｋｅｙＩ,カイリセイダイドウミャクリュウＤｅＢａｋｅｙ１,I710
解離性大動脈瘤ＤｅＢａｋｅｙＩＩ,カイリセイダイドウミャクリュウＤｅＢａｋｅｙ２,I710
解離性大動脈瘤ＤｅＢａｋｅｙＩＩＩａ,カイリセイダイドウミャクリュウＤｅＢａｋｅｙ３ａ,I710
解離性大動脈瘤ＤｅＢａｋｅｙＩＩＩｂ,カイリセイダイドウミャクリュウＤｅＢａｋｅｙ３ｂ,I710
解離性大動脈瘤ＳｔａｎｆｏｒｄＡ,カイリセイダイドウミャクリュウＳｔａｎｆｏｒｄＡ,I710
解離性大動脈瘤ＳｔａｎｆｏｒｄＢ,カイリセイダイドウミャクリュウＳｔａｎｆｏｒｄＢ,I710
解離性遁走,カイリセイトンソウ,F441
解離性動脈瘤,カイリセイドウミャクリュウ,I729
解離性脳動脈瘤,カイリセイノウドウミャクリュウ,I670
下咽頭異常,カイントウイジョウ,Q388
下咽頭異物,カイントウイブツ,T172
下咽頭炎,カイントウエン,J029
下咽頭外傷,カイントウガイショウ,S199
下咽頭癌,カイントウガン,C139
下咽頭血管腫,カイントウケッカンシュ,D180
下咽頭後部癌,カイントウコウブガン,C132
下咽頭腫瘍,カイントウシュヨウ,D370
下咽頭創傷,カイントウソウショウ,S112
下咽頭肉腫,カイントウニクシュ,C139
下咽頭乳頭腫,カイントウニュウトウシュ,D107
下咽頭熱傷,カイントウネッショウ,T280
下咽頭粘膜損傷,カイントウネンマクソンショウ,S199
下咽頭披裂喉頭蓋ひだ癌,カイントウヒレツコウトウガイヒダガン,C131
下咽頭良性腫瘍,カイントウリョウセイシュヨウ,D107
カウザルギー,カウザルギー,G564
カウデン病,カウデンビョウ,Q858
カウパー腺膿瘍,カウパーセンノウヨウ,N340
かえで樹皮はぎ職人肺,カエデジュヒハギショクニンハイ,J676
過角化症,カカクカショウ,L859
過活動膀胱,カカツドウボウコウ,N328
踵圧挫損傷,カカトアツザソンショウ,S978
踵関節症,カカトカンセツショウ,M1997
踵痛,カカトツウ,M7967
踵裂創,カカトレッソウ,S913
過換気症,カカンキショウ,R064
過換気症候群,カカンキショウコウグン,F453
過換気テタニー,カカンキテタニー,R064
過灌流症候群,カカンリュウショウコウグン,G978
過蓋咬合,カガイコウゴウ,K072
過外転症候群,カガイテンショウコウグン,G540
下顎悪性エナメル上皮腫,カガクアクセイエナメルジョウヒシュ,C411
下顎右側偏位,カガクウソクヘンイ,K071
下顎エナメル上皮癌,カガクエナメルジョウヒガン,C411
下顎エナメル上皮腫,カガクエナメルジョウヒシュ,D165
下顎エナメル上皮腫・骨外型／周辺型,カガクエナメルジョウヒシュ・コツガイガタ／シュウヘンガタ,D165
下顎エナメル上皮腫・単のう胞型,カガクエナメルジョウヒシュ・タンノウホウガタ,D165
下顎エナメル上皮線維腫,カガクエナメルジョウヒセンイシュ,D165
下顎遠心咬合,カガクエンシンコウゴウ,K072
下顎開放創,カガクカイホウソウ,S018
下顎角部開放骨折,カガクカクブカイホウコッセツ,S0261
下顎角部骨折,カガクカクブコッセツ,S0260
下顎割創,カガクカツソウ,S018
下顎下部腫瘤,カガクカブシュリュウ,R221
下顎関節突起開放骨折,カガクカンセツトッキカイホウコッセツ,S0261
下顎関節突起骨折,カガクカンセツトッキコッセツ,S0260
下顎貫通創,カガクカンツウソウ,S018
化学外傷,カガクガイショウ,T304
下顎外傷性異物,カガクガイショウセイイブツ,S018
下顎眼瞼異常運動症候群,カガクガンケンイジョウウンドウショウコウグン,Q078
下顎顔面異骨症,カガクガンメンイコツショウ,Q754
下顎近心咬合,カガクキンシンコウゴウ,K072
下顎頚部開放骨折,カガクケイブカイホウコッセツ,S0261
下顎頚部骨折,カガクケイブコッセツ,S0260
下顎幻影細胞性歯原性癌,カガクゲンエイサイボウセイシゲンセイガン,C411
下顎原始性歯原性腫瘍,カガクゲンシセイシゲンセイシュヨウ,D165
下顎原発性骨内癌,カガクゲンパツセイコツナイガン,C411
下顎硬化性歯原性癌,カガクコウカセイシゲンセイガン,C411
下顎口唇挫創,カガクコウシンザソウ,S017
下顎咬創,カガクコウソウ,S018
下顎後退症,カガクコウタイショウ,K071
下顎骨悪性腫瘍,カガクコツアクセイシュヨウ,C411
下顎骨壊死,カガクコツエシ,K102
下顎骨炎,カガクコツエン,K102
下顎骨開放骨折,カガクコツカイホウコッセツ,S0261
下顎骨間葉性軟骨肉腫,カガクコツカンヨウセイナンコツニクシュ,C411
下顎骨筋突起開放骨折,カガクコツキントッキカイホウコッセツ,S0261
下顎骨筋突起骨折,カガクコツキントッキコッセツ,S0260
下顎骨骨折,カガクコツコッセツ,S0260
下顎骨骨芽細胞腫,カガクコツコツガサイボウシュ,D165
下顎骨骨形成線維腫,カガクコツコツケイセイセンイシュ,D165
下顎骨骨腫,カガクコツコツシュ,D165
下顎骨骨髄炎,カガクコツコツズイエン,K102
下顎骨骨肉腫,カガクコツコツニクシュ,C411
下顎骨骨膜炎,カガクコツコツマクエン,K102
下顎骨骨膜下膿瘍,カガクコツコツマクカノウヨウ,K102
下顎骨骨膜性骨肉腫,カガクコツコツマクセイコツニクシュ,C411
下顎骨周囲炎,カガクコツシュウイエン,K102
下顎骨周囲膿瘍,カガクコツシュウイノウヨウ,K102
下顎骨腫瘍,カガクコツシュヨウ,D480
下顎骨性完全埋伏智歯,カガクコツセイカンゼンマイフクチシ,K010
下顎骨線維腫,カガクコツセンイシュ,D165
下顎骨多発開放骨折,カガクコツタハツカイホウコッセツ,S0261
下顎骨多発骨折,カガクコツタハツコッセツ,S0260
下顎骨低悪性中心性骨肉腫,カガクコツテイアクセイチュウシンセイコツニクシュ,C411
下顎骨軟骨芽細胞型骨肉腫,カガクコツナンコツガサイボウガタコツニクシュ,C411
下顎骨軟骨芽細胞腫,カガクコツナンコツガサイボウシュ,D480
下顎骨軟骨肉腫,カガクコツナンコツニクシュ,C411
下顎骨軟骨粘液線維腫,カガクコツナンコツネンエキセンイシュ,D165
下顎骨乳児黒色性神経外胚葉性腫瘍,カガクコツニュウジコクショクセイシンケイガイハイヨウセイシュヨウ,D165
下顎骨傍骨性骨肉腫,カガクコツボウコツセイコツニクシュ,C411
下顎骨良性腫瘍,カガクコツリョウセイシュヨウ,D165
下顎骨類腱線維腫,カガクコツルイケンセンイシュ,D480
下顎骨類骨骨腫,カガクコツルイコツコツシュ,D165
下顎左側偏位,カガクサソクヘンイ,K071
下顎擦過傷,カガクサッカショウ,S008
下顎挫傷,カガクザショウ,S008
下顎挫創,カガクザソウ,S018
下顎歯牙腫,カガクシガシュ,D165
下顎歯牙腫・集合型,カガクシガシュ・シュウゴウガタ,D165
下顎歯牙腫・複雑型,カガクシガシュ・フクザツガタ,D165
下顎歯原性角化のう胞,カガクシゲンセイカクカノウホウ,K090
下顎歯原性癌肉腫,カガクシゲンセイガンニクシュ,C411
下顎歯原性線維腫,カガクシゲンセイセンイシュ,D165
下顎歯原性肉腫,カガクシゲンセイニクシュ,C411
下顎歯原性粘液腫,カガクシゲンセイネンエキシュ,D165
下顎刺創,カガクシソウ,S018
下顎歯槽骨炎,カガクシソウコツエン,K103
下顎歯肉癌,カガクシニクガン,C031
下顎歯肉頬移行部癌,カガクシニクキョウイコウブガン,C061
下顎枝部開放骨折,カガクシブカイホウコッセツ,S0261
下顎枝部骨折,カガクシブコッセツ,S0260
下顎腫瘍,カガクシュヨウ,D480
下顎ジストニア,カガクジストニア,G248
下顎水平埋伏智歯,カガクスイヘイマイフクチシ,K073
化学性急性外耳炎,カガクセイキュウセイガイジエン,H605
化学性結膜炎,カガクセイケツマクエン,H102
化学性食道炎,カガクセイショクドウエン,K20
下顎正中部開放骨折,カガクセイチュウブカイホウコッセツ,S0261
下顎正中部骨折,カガクセイチュウブコッセツ,S0260
化学性肺炎,カガクセイハイエン,J680
化学性皮膚炎,カガクセイヒフエン,L253
下顎石灰化歯原性のう胞,カガクセッカイカシゲンセイノウホウ,D165
下顎石灰化上皮性歯原性腫瘍,カガクセッカイカジョウヒセイシゲンセイシュヨウ,D165
下顎切創,カガクセッソウ,S018
下顎セメント芽細胞腫,カガクセメントガサイボウシュ,D165
下顎セメント質骨形成線維腫,カガクセメントシツコツケイセイセンイシュ,D165
下顎セメント質腫,カガクセメントシツシュ,D165
下顎腺腫様歯原性腫瘍,カガクセンシュヨウシゲンセイシュヨウ,D165
下顎前突症,カガクゼントツショウ,K071
下顎創傷,カガクソウショウ,S018
下顎象牙質形成性幻影細胞腫,カガクゾウゲシツケイセイセイゲンエイサイボウシュ,D165
下顎象牙質腫,カガクゾウゲシツシュ,D165
下顎体部開放骨折,カガクタイブカイホウコッセツ,S0261
